,Unnamed: 0,labels,level2,level1,urls,Product_count,actual
43,44,mayonnaise,delicatessen,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=mayonnaise&newSort=true,217 results for 'mayonnaise',217
44,45,salad dressing,delicatessen,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=salad dressing&newSort=true,111 results for 'salad dressing',111
45,46,tidbits,delicatessen,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=tidbits&newSort=true,No results for 'tidbits',
46,47,frozen vegetables,frozen foods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=frozen vegetables&newSort=true,111 results for 'frozen vegetables',111
47,48,frozen fruits,frozen foods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=frozen fruits&newSort=true,104 results for 'frozen fruits',104
48,49,frozen meals,frozen foods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=frozen meals&newSort=true,118 results for 'frozen meals',118
49,50,frozen fish,frozen foods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=frozen fish&newSort=true,145 results for 'frozen fish',145
50,51,frozen chicken,frozen foods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=frozen chicken&newSort=true,99 results for 'frozen chicken',99
51,52,ice cream,frozen foods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=ice cream&newSort=true,255 results for 'ice cream',255
52,53,frozen dessert,frozen foods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=frozen dessert&newSort=true,106 results for 'frozen dessert',106
53,54,frozen potato products,frozen foods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=frozen potato products&newSort=true,5 results for 'frozen potato products',5
54,55,domestic eggs,eggs,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=domestic eggs&newSort=true,No results for 'domestic eggs',
55,56,rolls/buns,bread and backed goods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=rolls/buns&newSort=true,No results for 'rolls/buns',
56,57,white bread,bread and backed goods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=white bread&newSort=true,112 results for 'white bread',112
57,58,brown bread,bread and backed goods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=brown bread&newSort=true,93 results for 'brown bread',93
58,59,pastry,bread and backed goods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=pastry&newSort=true,504 results for 'pastry',504
59,60,roll products ,bread and backed goods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=roll products &newSort=true,7 results for 'roll products',7
60,61,semi-finished bread,bread and backed goods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=semi-finished bread&newSort=true,No results for 'semi-finished bread',
61,62,zwieback,bread and backed goods,fresh products,http://www.tesco.com/groceries/product/search/default.aspx?notepad=zwieback&newSort=true,No results for 'zwieback',
62,63,potato products,staple foods,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=potato products&newSort=true,21 results for 'potato products',21
63,64,flour,staple foods,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=flour&newSort=true,241 results for 'flour',241
64,65,salt,staple foods,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=salt&newSort=true,377 results for 'salt',377
65,66,rice,staple foods,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=rice&newSort=true,1110 results for 'rice',1110
66,67,pasta,staple foods,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=pasta&newSort=true,1053 results for 'pasta',1053
67,68,vinegar,vinegar/oils,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=vinegar&newSort=true,186 results for 'vinegar',186
68,69,oil,vinegar/oils,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=oil&newSort=true,812 results for 'oil',812
69,70,margarine,vinegar/oils,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=margarine&newSort=true,93 results for 'margarine',93
70,71,specialty fat,vinegar/oils,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=specialty fat&newSort=true,No results for 'specialty fat',
71,72,sugar,sweetener,processed food,http://www.tesco.com/groceries/product/search/default.aspx?notepad=sugar&newSort=true,1050 results for 'sugar',1050
