	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
65	0.573	G	500.0				1	100G	[A vanilla and chocolate cookie cheesecake topped with vanilla mallow on a chocolate flavoured digestive biscuit base., Creamy vanilla & chocolate cookie cheesecake, topped with light, fluffy mallow on a chocolate flavoured digestive biscuit base.]	http://img.tesco.com/Groceries/pi/863/5053526935863/IDShot_90x90.jpg	Tesco Cookies Mallow Cheesecake 500G	3.5	76036913	0.7
66	0.16	SNGL	2.0				1	EACH	[2 Puff pastry palmiers filled with fresh cream and strawberry jam and topped with a sugar dusting., Swirls of golden puff pastry with a layer of fruity strawberry jam, filled by hand with fresh British cream]	http://img.tesco.com/Groceries/pi/374/5054775632374/IDShot_90x90.jpg	Tesco 2 Strawberry And Cream Palmier	2.0	80894109	1.0
67	0.438	G	400.0	False			1	100G	[Chocolate flavoured sponge filled with a chocolate cream mousse, covered with milk chocolate, drizzled with a white chocolate flavoured sauce., This festive season, try our Frozen Chocolate Yule Log   layers of chocolate sponge & chocolate mousse coated in chocolate. It serves five & defrosts in only 2 hours, hassle free.]	http://img.tesco.com/Groceries/pi/161/5057008276161/IDShot_90x90.jpg	Tesco Chocolate Yule Log 400G	2.0	81575002	0.5
68	0.077	G	65.0	True			1	10G	[Vanilla Flavoured Cake Mix with Chocolate Chips]	http://img.tesco.com/Groceries/pi/187/5000254020187/IDShot_90x90.jpg	Pudding In A Mug Chocolate Chip 65G	0.79	81365268	0.122
69	0.466	G	360.0				1	100G	[Slices of banana in a caramel and banana sauce on a digestive biscuit base, topped with stabilised cream, and dusted with chocolate powder., Delicious digestive biscuit crumb, topped with indulgent banana and caramel sauce, finished with cream and a dusting of chocolate powder]	http://img.tesco.com/Groceries/pi/484/5053947953484/IDShot_90x90.jpg	Tesco Banoffee Pie 360G	2.5	60478506	0.694
70	0.245	G	180.0	True			1	KG		http://img.tesco.com/Groceries/pi/804/5054775465804/IDShot_90x90.jpg	Tesco Finest Melt In Middle Puddings 180G	2.0	80716345	11.12
71	0.069	G	60.0	True			1	100G	[Lemon Flavoured Cake Mix]	http://img.tesco.com/Groceries/pi/231/5000254020231/IDShot_90x90.jpg	Pudding In A Mug Lemon 60G	0.79	81365274	1.32
72	0.615	G	550.0				1	100G	[Butter enriched pastry with a creamy vanilla filling made with double cream topped with a strawberry compote, Butter enriched pastry with a creamy vanilla filling made with double cream topped with a strawberry compote]	http://img.tesco.com/Groceries/pi/173/5054775633173/IDShot_90x90.jpg	Tesco Strawberry And Cream Tart 550G	2.5	80917228	0.455
73	0.438	SNGL	1.0				1	EACH	[Sponge filled with stabilised cream and lemon curd, topped with stabilised cream and lemon sherbet dusting., Swirled sponge filled with fresh British cream with a zesty lemon curd, hand rolled and topped with fresh cream dusted with lemon sherbet.]	http://img.tesco.com/Groceries/pi/954/5054775658954/IDShot_90x90.jpg	Tesco Fresh Cream Lemon Roulade	3.5	80930753	3.5
74	1.0	G	1000.0				1	100G	[Vanilla flavoured cheesecake on a digestive biscuit base topped with a Belgian chocolate ganache., Delicious digestive biscuit base, topped with thick and creamy vanilla cheesecake finished with an indulgent Belgian chocolate ganache]	http://img.tesco.com/Groceries/pi/480/5054775632480/IDShot_90x90.jpg	Tesco Belgian Chocolate And Vanilla Cheesecake 1Kg	5.5	80894547	0.55
75	0.528	G	500.0	False			1	100G	[Rum flavour sauce]	http://img.tesco.com/Groceries/pi/019/5000354700019/IDShot_90x90.jpg	Birds Ready To Serve Rum Flavour Sauce 500G	1.75	52574295	0.35
76	0.528	G	500.0	False			1	100G	[Brandy flavour sauce]	http://img.tesco.com/Groceries/pi/002/5000354700002/IDShot_90x90.jpg	Birds Ready To Serve Brandy Flavour Sauce 500G	1.75	52273599	0.35
77	0.05	G	265.0		True	Buy 1 SIDE + 1 MAIN + 1 DESSERT + 1 DRINK FOR £10	1	100G		http://img.tesco.com/Groceries/pi/noimage.jpg	Tesco Finest Mixed Berry Trifle Meal Deal 265G	3.0	81980305	1.14
78	0.403	G	350.0		True	Buy 1 SIDE + 1 MAIN + 1 DESSERT + 1 DRINK FOR £10	1	100G	[Senga strawberry, Morello cherry and blueberry compote, topped with a clotted cream crumble., A medley of Senga strawberry, Morello cherry and blueberry compote, topped with an indulgent clotted cream crumble.]	http://img.tesco.com/Groceries/pi/183/5054775603183/IDShot_90x90.jpg	Tesco Finest Strawberry Cherry Blueberry Crumble 350G	3.0	80845163	0.857
79	0.298	G	220.0		True	Buy 1 SIDE + 1 MAIN + 1 DESSERT + 1 DRINK FOR £10	1	100G	[2 All butter shortcrust pastry cases filled with caramel sauce and almond frangipane, topped with Williams pear slices, 2 Finest Williams Pear & Pecan Tarts]	http://img.tesco.com/Groceries/pi/255/5053526624255/IDShot_90x90.jpg	Tesco Finest Williams Pear And Pecan Tarts 220G	3.0	75620436	1.37
