	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
17	0.484	G	320.0		True	Any 2 for £6.00	1	KG	[Slow cooked marinated beef with a sachet of smoky sweet barbecue sauce, Marinated in a blend of spices and slow cooked until it is perfect for shredding, served with a smoky bbq sauce]	http://img.tesco.com/Groceries/pi/184/5054402717184/IDShot_90x90.jpg	Tesco Smoky Bbq Pulled Beef 320G	3.5	78458324	10.94
18	0.137	G	125.0		True	Save 50p Was £2.50 Now £2.00	1	100G	[Seasoned, cooked and roasted formed turkey breasts., Lightly seasoned then gently roasted and caramelised for a delicate flavour.]	http://img.tesco.com/Groceries/pi/296/5057008101296/IDShot_90x90.jpg	Tesco Finest British Roast Turkey Breast 125G	2.0	74410911	1.6
19	0.594	G	454.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[A hearty succulent sausage brimming with coarsely minced pork, spices and a heavy sprinkling of traditional sausage know how., WE BELIEVE., Call us uncompromising, but at BROAD OAK FARM we only specialise in full bodied bangers brimming with prime meat and a GENEROUS splodge of savoury seasonings. We don't believe in feeble flavours or timid tastes. Our scrumptious sausages are primed to tantalise taste buds, because fabulous fare is our specialist subject, PREMIUM PORK SAUSAGES., Often less is more. We often feel naughty taking the credit for something whose very success hinges upon its uncompromising simplicity. Then again, not every savoury food supplier is happy to sit back and let its SAUSAGES take centre stage.]	http://img.tesco.com/Groceries/pi/116/5017317000116/IDShot_90x90.jpg	Broad Oak Farm 8 Premium Pork Sausages 454G	2.5	53097656	5.51
20	0.137	G	125.0				1	100G	[Wiltshire cured ham formed from selected cuts of pork leg meat., Steeped in aged brine and hung on the bone for a richer flavour.]	http://img.tesco.com/Groceries/pi/961/5057008100961/IDShot_90x90.jpg	Tesco Finest Wiltshire Cured Ham 125G	2.5	51152675	2.0
21	0.689	G	400.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[Pork and caramelised onion sausages filled into natural pork casings., Plump, juicy sausages made with our authentic Finest recipe using prime cuts of meat and chopped onions for extra flavour. Our British pork comes from pigs reared on Red Tractor assured farms with standards of quality, animal husbandry and welfare informed by the Tesco Livestock Code of Practice. Oven cook or grill for 2 3 people. Try one of our popular pork recipes at www.tesco.com/realfood]	http://img.tesco.com/Groceries/pi/283/5051898641283/IDShot_90x90.jpg	Tesco Finest 6 British Pork And Onion Sausages 400G	2.5	53319390	6.25
22	0.193	G	75.0	False	True	Any 2 for £1.00	1	100G	[Tuna and Mayonnaise Paste with Minced Haddock, To view our seafood sustainability statement visit princes.co.uk]	http://img.tesco.com/Groceries/pi/313/5000232816313/IDShot_90x90.jpg	Princes Tuna And Mayonnaise Paste 75G	0.69	51181064	0.92
23	0.451	G	300.0		True	Save 50p Was £3.50 Now £3.00	1	KG	[Recipe ready cuts of tender lamb., Grass fed. Selected for succulence and flavour. Delicious slow cooked.]	http://img.tesco.com/Groceries/pi/819/5053526970819/IDShot_90x90.jpg	Tesco Lamb Diced Leg 300G	3.0	64760373	10.0
24	0.047	G	45.0	False			1	100G		http://img.tesco.com/Groceries/pi/962/5026489483962/IDShot_90x90.jpg	Eat Real Hummus Chips Tomato Basil 45G	0.7	77142054	1.56
25	0.113	G	125.0				1	100G	[Smoked, sweet cured ham formed from selected cuts of pork leg meat., Cured and hung on the bone, then gently smoked using applewood chips.]	http://img.tesco.com/Groceries/pi/081/5057008101081/IDShot_90x90.jpg	Tesco Finest British Applewood Smoked Wafer Thin Ham 125G	2.5	60459345	2.0
26	0.46	G	380.0				1	100G	[Family pack slliced, cured and cooked formed ham.]	http://img.tesco.com/Groceries/pi/964/5054268623964/IDShot_90x90.jpg	The Delicatessen Family Pack Yorkshire Ham 380G	4.0	72427365	1.06
27	0.305	G	275.0			£1 WYS £5 on fresh pre-packed meat and fish	1	KG	[unsmoked streaky bacon with added water, Unsmoked Rindless Streaky Bacon Rashers]	http://img.tesco.com/Groceries/pi/655/5054775751655/IDShot_90x90.jpg	Woodside Farms Streaky Bacon 275G	1.04	81029172	3.79
