	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
53	0.423	KG	0.39				1	KG	[8 Vegetarian Suet Dumplings, Follow Me, For all my latest news, tasty recipe ideas and competitions., Did You Know?, We send zero waste to landfill from our Hull factories., Visit www.auntbessies.co.uk to find out more.]	http://img.tesco.com/Groceries/pi/667/5000227991667/IDShot_90x90.jpg	Aunt Bessie's Dumplings 390G	1.5	54355269	3.85
54	0.063	SNGL	500.0				1	EACH	[Aspartame and Acesulfame-K based table-top sweetener, Suitable for diabetics when used as part of a balanced diet. Suitable for Lacto vegetarian diet]	http://img.tesco.com/Groceries/pi/013/7640110700013/IDShot_90x90.jpg	Canderel 5 Refill Sachets 500Pk	4.84	51710574	0.01
55	0.083	SNGL	30.0		True	Any 3 for 2 Cheapest Product Free	1	EACH	[Chewable vitamin, mineral and vegetarian flaxseed oil tablets with sweeteners for children aged 4-12]	http://img.tesco.com/Groceries/pi/800/5021265223800/IDShot_90x90.jpg	Wellkid 30S	6.5	61083466	0.217
56	0.54	G	500.0				1	KG	[Dried red kidney beans., Makes a great vegetarian chilli or spicy mexican soup]	http://img.tesco.com/Groceries/pi/289/5052910939289/IDShot_90x90.jpg	Tesco Wholefoods Kidney Beans 500G	1.15	73666068	2.3
57	1.317	CL	75.0				1	75CL	[This medium bodied Pinot Grigio is full of vibrant pear flavours with a hint of citrus fruit and tangerine. Food Match: Perfect to savour on its own or with salads, fish, smoked salmon or vegetarian dishes.]	http://img.tesco.com/Groceries/pi/979/7804320355979/IDShot_90x90.jpg	Casillero Del Diablo Pinot Grigio 75Cl	8.0	67996849	8.0
58	0.408	G	375.0	False			1	KG	[Dried soya mince made from textured soya protein., Makes a great vegetarian chilli or bolognese]	http://img.tesco.com/Groceries/pi/042/5051140112042/IDShot_90x90.jpg	Tesco Wholefood Soya Mince 375G	1.9	58963286	5.07
59	0.15	KG	0.13		True	Any 3 for £4.00	1	KG	[Vegetarian Tomato & Chunky Chickpea Curry]	http://img.tesco.com/Groceries/pi/093/5060398490093/IDShot_90x90.jpg	For Aisha Vegetable Tomato And Chickpea Curry 7Mth+ 130G	1.45	80745644	11.16
60	0.533	G	500.0	False			1	KG	[Dried adzuki beans., Makes a great vegetarian cottage pie or lasagne]	http://img.tesco.com/Groceries/pi/599/5000358965599/IDShot_90x90.jpg	Tesco Wholefood Adzuki Beans 500G	1.8	52634948	3.6
61	0.533	G	500.0	False			1	KG	[Dried soya beans., Makes a great vegetarian burger when whizzed in a food processor with a few herbs and spices]	http://img.tesco.com/Groceries/pi/681/5000358965681/IDShot_90x90.jpg	Tesco Wholefood Soya Beans 500G	1.6	52635431	3.2
62	0.467	G	400.0	False	True	Save 25p Was £1.00 Now 75p	1	KG		http://img.tesco.com/Groceries/pi/889/5054268735889/IDShot_90x90.jpg	Tesco Meat Free Bolognese 400G	0.75	77227640	1.88
63	0.9	G	665.0				1	100G	[Seasoned rice wrapped in a vine leaf, lightly spiced chickpea and vegetable falafel, mixed olives with basil and garlic, Greek full fat soft feta cheese., A moreish vegetarian meze selection inlcuding stuffed vine leaves, falafel, marinated mixed olives and diced Greek feta cheese. Perfect for sharing]	http://img.tesco.com/Groceries/pi/313/5054775424313/IDShot_90x90.jpg	Tesco Easy Entertaining Meze Selection 665G Serves 10	8.0	80695748	1.21
64	0.263	G	250.0	True			1	100G		http://img.tesco.com/Groceries/pi/noimage.jpg	Tesco Onion Bhaji Burger 250G	1.5	81609131	0.6
65	0.235	G	225.0	False	True	Any 2 for £5.00	1	KG	[Brazil nut kernels, Create the perfect vegetarian nut roast on Christamas day by adding a selection of mixed nuts to the recipe]	http://img.tesco.com/Groceries/pi/010/5051399542010/IDShot_90x90.jpg	Tesco Christmas Brazilnut Kernels 225G	3.0	72293913	13.34
