	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
20	0.626	ML	900.0		True	Any 2 for £3.50	1	100ML	[Vanilla flavoured ice cream with cherry sauce and glacé cherries, Cherry Vanilla Ice Cream]	http://img.tesco.com/Groceries/pi/553/5053947930553/IDShot_90x90.jpg	Tesco Cherry Vanilla Ice Cream 900Ml	2.0	57462696	0.222
21	0.291	ML	250.0				1	LITRE	[Freeze & Squeeze Frozen Berry Daiquiri]	http://img.tesco.com/Groceries/pi/484/5000281031484/IDShot_90x90.jpg	Parrot Bay Berry Daiquiri 250Ml	1.5	73954977	6.0
22	0.36	ML	480.0		True	Any 2 for £3.00	1	100ML	[Vanilla ice cream with chocolate chip cookie dough and dark chocolate chunks, Cookie Dough Ice Cream]	http://img.tesco.com/Groceries/pi/416/5054268869416/IDShot_90x90.jpg	Tesco Cookie Dough Ice Cream 480Ml	2.0	77379148	0.417
23	0.375	SNGL	1.0		True	Any 5 for 4 Cheapest Product Free	1	EACH		http://img.tesco.com/Groceries/pi/noimage.jpg	Disney Frozen Tablecover	2.25	77422938	2.25
24	0.579	ML	1000.0	False			1	100ML	[Creamy vanilla flavoured dairy ice cream made with Cornish whole milk, double cream and Cornish clotted cream., Cornish Cream Dairy Ice Cream]	http://img.tesco.com/Groceries/pi/509/5054402527509/IDShot_90x90.jpg	Tesco Soft Scoop Cornish Ice Cream 1Ltr	2.0	78228418	0.2
25	0.88	G	840.0	True	True	Any 3 for £5.00	1	100G	[20 Pork cocktail sausages, 20 Lincolnshire cocktail sausages and  20 Cumberland cocktail sausages individually packed., 60 mixed pack cocktail sausages]	http://img.tesco.com/Groceries/pi/079/5057008276079/IDShot_90x90.jpg	Tesco 60 Mixed Cocktail Sausages 840G	2.0	81574922	0.238
26	0.056	ML	500.0		True	Save £1.50 Was £4.00 Now £2.50	1	100ML	[Caramel Ice Cream with a Caramel Swirl (9%) and Chocolatey Covered Caramel Chunks (9%), www.info.fairtrade.net, Caring Dairy, A Ben & Jerry's Initiative]	http://img.tesco.com/Groceries/pi/915/0076840600915/IDShot_90x90.jpg	Ben And Jerry's Caramel Chew Chew Ice Cream 500Ml	2.5	53969996	0.5
27	0.403	G	360.0	False			1	100G	[Steamed Couscous with Mediterranean Style Vegetables and Seasoning, For more, visit birdseye.co.uk]	http://img.tesco.com/Groceries/pi/244/5000116111244/IDShot_90x90.jpg	Birds Eye Mediterranean Vegetable Couscous 360G	1.75	81720194	0.486
28	0.268	ML	330.0				1	100ML	[3 Raspberry flavoured ice cream lollies with a raspberry flavoured sauce, coated in Belgian white chocolate, White Chocolate and Raspberry Ice Cream]	http://img.tesco.com/Groceries/pi/620/5054775366620/IDShot_90x90.jpg	Tesco Belgian White Chocolate And Raspberry 3X110ml	1.0	80644268	0.303
29	0.291	ML	250.0				1	LITRE	[Freeze & Squeeze Frozen Piña Colada]	http://img.tesco.com/Groceries/pi/491/5000281031491/IDShot_90x90.jpg	Parrot Bay Pina Colada 250Ml	1.5	73954885	6.0
