	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
27	0.883	ML	500.0				1	100ML	[Baby Bath, For more information visit www.johnsonsbaby.co.uk]	http://img.tesco.com/Groceries/pi/599/3574660217599/IDShot_90x90.jpg	Johnsons Baby Bath 500Ml	2.25	50932975	0.45
28	0.453	ML	300.0				1	100ML	[Bedtime Baby Bath]	http://img.tesco.com/Groceries/pi/567/3574661217567/IDShot_90x90.jpg	Johnsons Baby Bedtime Bath 300Ml	2.0	55006774	0.667
29	0.313	ML	250.0				1	100ML	[Peace Body Wash]	http://img.tesco.com/Groceries/pi/015/8712561190015/IDShot_90x90.jpg	Lynx Peace Shower Gel 250Ml	2.0	75138304	0.8
30	0.169	ML	150.0				1	100ML		http://img.tesco.com/Groceries/pi/286/5012874212286/IDShot_90x90.jpg	Beckham Instinct Body Spray 150Ml	2.5	65404604	1.67
31	0.13	ML	150.0				1	100ML	[Xtreme Cool 72H Protection Anti-Perspirant, Join us: Facebook.com/UKRightGuard]	http://img.tesco.com/Groceries/pi/939/5012583201939/IDShot_90x90.jpg	Right Guard Xtreme Silver Cool Impact Antiperspirant Deodorant 150Ml	1.0	65667557	0.667
32	0.183	ML	250.0				1	100ML	[Men+Care Clean Comfort Body and Face Wash, Dove Clean Comfort, Dove men's body wash, body wash for men, face wash, clean face, clean body]	http://img.tesco.com/Groceries/pi/624/8717644627624/IDShot_90x90.jpg	Dove Men+Care Cleancomfort Body And Face Wash 250Ml	2.5	65375126	1.0
33	0.185	ML	200.0				1	100ML	[Body Spray Deodorant]	http://img.tesco.com/Groceries/pi/842/8712561613842/IDShot_90x90.jpg	Lynx Black Body Spray 200Ml	4.0	78596217	2.0
34	0.208	ML	250.0		True	Save £1.00 Was £2.50 Now £1.50	1	100ML	[Nivea Men Invisible for Black & White Clear 48 Hour Anti-Perspirant]	http://img.tesco.com/Groceries/pi/490/4005900036490/IDShot_90x90.jpg	Nivea Black And White Power Antiperspirant Deodorant 250Ml	1.5	67447204	0.6
35	0.167	ML	250.0				1	100ML	[Extra Fresh Aerosol Anti-Perspirant Deodorant]	http://img.tesco.com/Groceries/pi/478/8718114216478/IDShot_90x90.jpg	Dove Men+Care Extra Fresh Antiperspirant Deodorant 250Ml	3.0	65374258	1.2
36	0.112	ML	50.0				1	100ML	[Men+Care Clean Comfort Deodorant Stick, Dove Men+Care Clean Comfort, Dove Clean Comfort Deodorant, Dove deodorant, men's Dove deodorant, deodorant]	http://img.tesco.com/Groceries/pi/021/0000050220021/IDShot_90x90.jpg	Dove Men+Care Clean Comfort Stick Antiperspirant Deodorant 50Ml	2.0	65444677	4.0
