	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
18	1.088	KG	1.0				1	KG	[30% vegetable fat spread, In fact eating more foods from plants is a simple way to take care of your wellbeing and the planet. Helping your family to eat well and live lighter*., *Reducing consumption of saturated fat contributes to the maintenance of normal blood cholesterol levels. Essential fats are needed for normal growth and development of children and daily intake needed is 2g of omega 3 (alpha linolenic acid) and 10g of omega 6 (linoleic acid). 2x10g portion of Flora a day contribute a significant amount to this. Enjoy as part of a healthy diet and lifestyle., *For more information about our carbon footprint visit www.flora.com or call 0800 446464 (UK) 1850409172 (ROI), Please visit: https://www.unilever.com/sustainable living/]	http://img.tesco.com/Groceries/pi/466/5000241004466/IDShot_90x90.jpg	Flora Light Spread 1Kg	2.5	51424855	2.5
19	2.6	L	2.64		True	Any 2 for £5.00	1	100ML	[Sparkling Low Calorie Cherry Flavour Soft Drink with Vegetable Extracts with Sweeteners]	http://img.tesco.com/Groceries/pi/743/5449000154743/IDShot_90x90.jpg	Diet Coke Cherry 8 X 330Ml	3.5	66101984	0.133
20	0.143	G	90.0		True	Half Price Was £1.00 Now 50p	1	KG	[Noodles in a Beef and Tomato flavour sauce with vegetables and a little sachet of tomato sauce.]	http://img.tesco.com/Groceries/pi/497/5000118203497/IDShot_90x90.jpg	Pot Noodle Beef And Tomato 90G	0.5	50027215	5.56
21	2.9	ML	2640.0		True	Any 2 for £5.00	1	100ML	[Sparkling Soft Drink with Vegetable Extracts with Sugar and Sweetener]	http://img.tesco.com/Groceries/pi/988/5449000052988/IDShot_90x90.jpg	Coca Cola Life 8X330ml	3.5	77378794	0.133
22	0.101	G	80.0	False			1	100G	[Concentrated Vegetable Stock, For more tasty recipe ideas and inspiration find us at: oxo.co.uk, Facebook and YouTube]	http://img.tesco.com/Groceries/pi/983/0000096122983/IDShot_90x90.jpg	Oxo Stock Pot Vegetable 80G	1.4	81492249	1.75
23	0.165	G	135.0	False			1	100G	[Dehydrated powder for vegetable dishes]	http://img.tesco.com/Groceries/pi/231/8714100287231/IDShot_90x90.jpg	Knorr Organic Vegetable Stock Powder 135G	2.0	81544771	1.49
24	0.35	G	280.0				1	KG		http://img.tesco.com/Groceries/pi/853/0000003263853/IDShot_90x90.jpg	Tesco Peppers Sweet Mirabella 280G	1.25	80103552	4.47
25	0.35	SNGL	1.0	False			1	EACH	[British Mint]	http://img.tesco.com/Groceries/pi/710/0000003252710/IDShot_90x90.jpg	Tesco British Growing Mint Pot Each	1.25	60484867	1.25
26	2.073	ML	1800.0		True	Any 2 for £7.00	1	100ML	[Sparkling Low Calorie Soft Drink with Vegetable Extracts with Sweeteners]	http://img.tesco.com/Groceries/pi/239/5449000059239/IDShot_90x90.jpg	Diet Coke 12 X 150Ml	4.0	51520476	0.222
27	0.202	G	180.0				1	100G	[A tasty meal with pieces of carrot, peas & noodles with added iron., Wider spout., Even more texture., Great for stage 3., Grow happy ™]	http://img.tesco.com/Groceries/pi/199/5000157076199/IDShot_90x90.jpg	Heinz Vegetable Singapore Noodles Pouch 180G	1.65	80569697	0.917
28	0.875	G	375.0				1	KG	[Complete Pet Food For Cats, A complete dry food for cats No artificial flavours or colours. Helps maintain muscle tone and strong bones]	http://img.tesco.com/Groceries/pi/563/5054775227563/IDShot_90x90.jpg	Tesco Soft And Crunchy Beef Chk And Vegetable 375G	0.75	80385787	2.0
29	0.009	G	128.0				1	100G	[A mix of salad leaves with edamame beans and carrot.]	http://img.tesco.com/Groceries/pi/158/0000003267158/IDShot_90x90.jpg	Tesco Sweet Crisp Salad 128G	1.0	81117350	0.781
30	2.667	ML	2640.0		True	Any 2 for £5.00	1	100ML	[Sparkling Low Calorie Cherry Flavour Soft Drink with Vegetable Extracts with Sweeteners]	http://img.tesco.com/Groceries/pi/524/5449000195524/IDShot_90x90.jpg	Coca Cola Coke Zero Cherry 8X330 Ml	3.5	75274897	0.133
31	0.77	G	700.0				1	100G	[A blend of cooked rice, sultanas, red peppers, edamame soya beans, citrus dressing, sweetcorn, black turtle beans, spinach and lemon zest., Tasty rice salad with delicious vegetables and beans including red peppers, sultanas, sweetcorn, edamame and black turtle beans, with a citrus dressing.]	http://img.tesco.com/Groceries/pi/203/5054268159203/IDShot_90x90.jpg	Tesco Easy Entertaining Zesty Rice And Vegetable Salad Serves 8	6.0	76481004	0.857
32	0.197	G	150.0		True	Save 39p Was £1.89 Now £1.50	1	100G	[Decaffeinated Instant Coffee with skimmed milk powder and vegetable oil]	http://img.tesco.com/Groceries/pi/194/7613034310194/IDShot_90x90.jpg	Nescafe Decaffeinated Cappuccino Unsweetened Coffee 10 Sachet 150G	1.5	54352157	1.0
33	0.588	SNGL	3.0				1	EACH	[Sweetcorn]	http://img.tesco.com/Groceries/pi/089/5060046642089/IDShot_90x90.jpg	Thurstons Golden Sweetcorn	1.0	76111922	0.333
34	6.26	KG	5.0				1	KG	[Complete pet food for adult dogs]	http://img.tesco.com/Groceries/pi/916/7613034280916/IDShot_90x90.jpg	Bakers Complete Bacon Liver And Vegetable 5Kg	10.0	56748049	2.0
35	1.868	L	1.75		True	Any 2 for £2.00	1	100ML	[Sparkling Low Calorie Citrus Flavour Soft Drink with Vegetable Extracts with Sweeteners]	http://img.tesco.com/Groceries/pi/108/5449000197108/IDShot_90x90.jpg	Coca Cola Diet Coke Citrus Zest 1.75L	1.71	76237059	0.098
36	0.36	G	200.0	True			1	100G	[Black Kale 200g]	http://img.tesco.com/Groceries/pi/704/0000003268704/IDShot_90x90.jpg	Tesco Black Kale 200G	1.2	81218305	0.6
37	0.055	G	50.0				1	100G	[Cheese Snack Biscuits, www.123healthybalance.com]	http://img.tesco.com/Groceries/pi/218/5000168076218/IDShot_90x90.jpg	Kp Mini Cheddars Original 50G	0.69	50702568	1.38
38	1.035	G	420.0	False			1	100G	[Soured Gherkins in Brine.]	http://img.tesco.com/Groceries/pi/399/5901713001399/IDShot_90x90.jpg	Dawtona Ogorki Kwaszone 900G	1.89	61905974	0.45
39	0.158	G	140.0	False			1	100G	[A mix of white and red cabbage, carrot and red onion in a cider vinegar., Lightly pickled crunchy cabbage, carrot and red onion.]	http://img.tesco.com/Groceries/pi/828/0000003258828/IDShot_90x90.jpg	Tesco Pink Slaw 140G	1.0	78718524	0.714
40	0.133	G	100.0	False			1	100G	[Crispy Potato Thins with Sea Salt Flavour.]	http://img.tesco.com/Groceries/pi/169/7622210983169/IDShot_90x90.jpg	Ritz Crisp And Thin Sea Salt 100G	1.99	81158001	1.99
41	0.192	G	142.0		True	Save 39p Was £1.89 Now £1.50	1	100G	[Instant Coffee with Skimmed Milk Powder and Vegetable Oil.]	http://img.tesco.com/Groceries/pi/279/7613034310279/IDShot_90x90.jpg	Nescafe Cafe Menu Cappuccino Un/Swt 10S 142G	1.5	80502517	1.06
42	0.38	G	305.0				1	KG	[Courgette, peppers, onion and spinach in a tomato and herb dressing., Courgette, peppers, onion and spinach in a tomato and herb dressing.]	http://img.tesco.com/Groceries/pi/080/5057008025080/IDShot_90x90.jpg	Tesco Steamed Mediterranean Vegetable 305G	2.0	81272280	6.56
43	0.215	G	120.0				1	KG	[Crisp and flavoursome]	http://img.tesco.com/Groceries/pi/315/0000003226315/IDShot_90x90.jpg	Tesco Red Spring Onions 120G	1.0	72501300	8.34
44	0.284	G	120.0			50p off Tesco freshcut fruit, prepped veg or salad	1	100G	[Peppery Crispy, LEAF Marque (Linking Environment and Farming) brings you food grown by farmers who care about the environment, protecting and enhancing the countryside and promoting sustainable farming methods., www.leafmarque.com, For delicious recipe ideas, hints & tips see www.florettesalad.co.uk or www.facebook.com/floretteuk]	http://img.tesco.com/Groceries/pi/233/5060035403233/IDShot_90x90.jpg	Florette Peppery Crispy 120G	1.5	73447754	1.25
45	1.868	L	1.75		True	Any 2 for £2.00	1	100ML	[Sparkling Low Calorie Cherry Flavour Soft Drink with Vegetable Extracts with Sweeteners]	http://img.tesco.com/Groceries/pi/115/5449000197115/IDShot_90x90.jpg	Coca Cola Diet Coke Cherry 1.75L	1.71	76237203	0.098
46	0.693	SNGL	1.0				1	EACH	[Tesco Chinese Leaf Each]	http://img.tesco.com/Groceries/pi/244/0000010016244/IDShot_90x90.jpg	Tesco Chinese Leaf Each	1.2	50502321	1.2
47	0.417	G	250.0		True	Any 3 for £3.00	1	KG	[Gently steamed Long Grain Rice with chicken flavour and vegetables, Colourful meals begin with our special rice, we have a rainbow of flavours to share: www.unclebens.co.uk & www.unclebens.ie]	http://img.tesco.com/Groceries/pi/202/5010034517202/IDShot_90x90.jpg	Uncle Bens Express Savoury Chicken Rice 250G	1.78	51305403	7.12
48	0.55	ML	500.0				1	100ML	[Beetroot, Carrot, Lemon, Ginger & Apple]	http://img.tesco.com/Groceries/pi/490/5060268000490/IDShot_90x90.jpg	Coldpress Juicy Roots 500Ml	2.79	78239175	0.558
49	108.333	G	85.0	False			1	KG	[A rich rice noodle dish with coconut, chilli, peppers and sweetcorn, Have we mastered our craft or should we fall on our swords? Share noodle wisdom:, www.kabutonoodles.com/rate our noodles]	http://img.tesco.com/Groceries/pi/348/5060250610348/IDShot_90x90.jpg	Kabuto Noodles Vegetable Laksa 85G	1.99	79583369	23.42
50	0.472	SNGL	1.0	False			1	EACH	[Growing Flat Leaf Parsley]	http://img.tesco.com/Groceries/pi/349/0000010056349/IDShot_90x90.jpg	Tesco Flat Leaf Parsley Medium Pot	1.25	50032306	1.25
51	0.55	ML	500.0				1	100ML	[Pumpkin, Ginger, Cinnamon, Carrot, Pineapple, Apple & Lemon]	http://img.tesco.com/Groceries/pi/483/5060268000483/IDShot_90x90.jpg	Coldpress Pumpkin Power 500Ml	2.79	78239146	0.558
52	0.5	G	400.0	False			1	100G	[Mixed vegetable and mutton broth.]	http://img.tesco.com/Groceries/pi/133/5000436960133/IDShot_90x90.jpg	Tesco Scotch Broth 400G	0.45	55035232	0.113
