	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
95	1.3	CL	75.0				1	75CL	[Fragrant bouquet of rose petals and strawberries. A full bodied, yet soft wine with a dry finish, Villa Maria was founded in 1961 and is today regarded as one of New Zealand's leading winemakers. This family owned business has the accolade of making the most award winning wines in New Zealand. This wine is made from a combination of vineyard parcels drawn from throughout the Marlborough, Hawkes Bay and Gisborne regions. The diversity of the unique soil profiles and climates of each region provides different and complementary flavour characteristics to the finished wine.  An enchanting blend of individual parcels selected for their fruit purity and delicacy.]	http://img.tesco.com/Groceries/pi/108/9414416219108/IDShot_90x90.jpg	Villa Maria Private Bin Rose 75Cl	8.0	60976579	8.0
96	1.734	CL	75.0				1	75CL	[Brut Reserve Champagne, à Reims., France., Brut Réserve Taittinger is one of the last great Champagne Houses to remain independent and is owned and actively managed by the family named on the label. The family are guardians of Taittinger's style quality and integrity. The hallmark of their fine Champagnes is the high proportion of Chardonnay used in their winemaking which is key, in the Champagne region, for producing wines of great elegance and finesse. Additionally, with its vineyard ownership of 288 ha (one of the largest in Champagne), Taittinger can guarantee a flawless signature, and wines heralded worldwide for their consistent quality. Our signature cuvée, Taittinger Brut Réserve, is assembled from more than 35 crus and incorporates 40% Chardonnay   this high level is seldom offered in a non vintage Champagne. Distinguished by a delicate nose marked by subtle brioche notes, it has a palate of considerable depth and balance with hints of honey and fresh fruit with a long, fresh finish.]	http://img.tesco.com/Groceries/pi/030/3016570001030/IDShot_90x90.jpg	Taittinger Brut Reserve Non Vintage Champagne 75Cl	35.0	50962680	35.0
97	0.143	G	500.0	True			1	100G	[Toasted oat clusters with sultanas, sweetened dried fruits, coconut and almonds., Honey toasted oat clusters with tropical fruits & sunflower seeds]	http://img.tesco.com/Groceries/pi/800/5057008100800/IDShot_90x90.jpg	Tesco Tropical Granola 500G	1.49	81344155	0.298
98	0.148	G	114.0	True			1	100G	[Gluten free cracked black pepper wholegrain crackers, Oats are not only naturally nutritious, they are high in fibre and full of complex carbohydrates. Health bodies, such as the NHS, say that the energy from oats is released slowly and so helps to keep you going for longer.*, *To find out more, visit nairns oatcakes.com/benefitsofoats, Our product contains Sustainable Palm Fruit Oil. For further information please visit our website., Facebook and Twitter, nairns oatcakes.com/gluten free]	http://img.tesco.com/Groceries/pi/035/0612322000035/IDShot_90x90.jpg	Nairns Gf Cracked Black Pepper Crackers 114G	1.6	81544391	1.41
99	1.167	CL	75.0				1	75CL	[Passerina Terre di Chieti. Indicazione Geografica Protetta. Product of Italy., Passerina is a rare local grape variety from southern Italy. It is also the name of a small bird that enjoys eating these grapes. Crisp and fresh, this white wine has flavours of citrus fruit and white peach. Perfect whit grilled chicken or seafood.]	http://img.tesco.com/Groceries/pi/704/5054775909704/IDShot_90x90.jpg	Tesco Finest Passerina 75Cl	6.0	81132999	6.0
0	0.584	ML	900.0	False			1	100ML	[Biscuit flavour ice cream with apple sauce (15%), semi candied apple pieces (5%) and topped with biscuit pieces (1%)., www.icecreamjoy.com]	http://img.tesco.com/Groceries/pi/212/8714100295212/IDShot_90x90.jpg	Carte D'or Apple Tarte Ice Cream Dessert 900Ml	3.49	81747842	0.388
1	0.042	G	35.0	False	True	Save 25p Was 75p Now 50p	1	100G	[Pecan Pie Raw Fruit & Nut Bar, Join the Wholefood Revolution at eatnakd.com. Replace over processed foods with nourishing wholefoods and get ready to be happy. Simply Yummy, We'd love you to join us and discover the delightful world of wholefood alternatives:, Eatnakd.com, Find us on Facebook, Twitter @nakd]	http://img.tesco.com/Groceries/pi/669/5060088701669/IDShot_90x90.jpg	Nakd Pecan Pie Bar 35G	0.5	67613739	1.43
2	1.383	CL	75.0				1	75CL	[2015 Argentinian Torrontes. White Wine. Indicacion de Procedencia Salta. Wine of Argentina, This wine displays ripe flavours of lychee, orange peel and citrus and is light and fresh with exotic fruit flavours and lemony crispness. It makes the perfect aperitif and is also a wonderful match with delicate seafood dishes and Asian salads. It is made for us from hight quality Torrontes grapes from Salta, Argentina]	http://img.tesco.com/Groceries/pi/013/5052320876013/IDShot_90x90.jpg	Tesco Finest Torrontes 75Cl	7.0	68024093	7.0
3	1.04	L	1.0	False	True	Save 50p Was £1.70 Now £1.20	1	LITRE	"[A delicious and refreshing almond and rice blended non-dairy drink: UHT processed., Did you know?, Almonds have been enjoyed since the Stone Age in Asia Minor. This delicious stone fruit has been cultivated from ancient to modern times and is called the ""King of Nuts"". Nowadays, California in the United States and Spain are the world's largest suppliers. Almonds are not only used in food and drinks, but are also very popular as components of natural cosmetics., Visit us for delicious recipe ideas at:, www.mydairyfreedream.com]"	http://img.tesco.com/Groceries/pi/445/5425000191445/IDShot_90x90.jpg	Almond Dream With Rice 1 Litre	1.2	81406503	1.2
4	1.417	CL	75.0				1	75CL	[2013 Chablis Premier Cru. Appellation Chablis Premier Cru Controlee. Product of France., A richer and more intense style of Chablis.  This wine has a creamy palate of melon and citrus fruits with the classic minerality typical of the region of Chablis.  Made from top quality Chardonnay grapes picked from the best Premier Cru Chablis vineyards in northern Burgundy.  Cool fermentation helps maintain the unique character for which Chablis has become so famous.  Serve chilled, a perfect partner to summer salads, grilled fish and barbecued white meats.]	http://img.tesco.com/Groceries/pi/830/5000436777830/IDShot_90x90.jpg	Tesco Finest Chablis 1Er Cru 75Cl	12.0	54808184	12.0
