	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
31	2.0	G	585.0				1	100G	[30 Choux pastry cases, filled with salted caramel cream (39%) and covered with Belgian chocolate sauce (30%) and decorated with gold lustred butterscotch pieces., 30 salted caramel cream filled profiteroles topped with Belgian chocolate sauce and decorated with gold coated butterscotch pieces.]	http://img.tesco.com/Groceries/pi/415/5054775890415/IDShot_90x90.jpg	Finest Easy Entertaining 30 Salted Caramel Profiteroles 585G	8.0	81104492	1.37
32	0.583	G	500.0	False			1	100G	[Chocolate meringue filled with whipped caramel flavour cream and sea salted caramel sauce, decorated with a metallic coloured dusting., This festive season, try our frozen finest salted caramel roulade with a crisp shelled chocolate meringue filled with whipped caramel flavour British cream and sea salted caramel sauce, hand finished with a metallic lustre. It defrosts in only 3 hours and is a great centre piece for a dinner party.]	http://img.tesco.com/Groceries/pi/588/5057008235588/IDShot_90x90.jpg	Tesco Fin Salted Caramel Roulade 500G	5.0	81505222	1.0
33	0.213	G	180.0	True			1	100G	[Baked Cheesecake on biscuits base smothered in a summer fruit sauce and topped with redcurrants, blackcurrants and crushed raspberries.]	http://img.tesco.com/Groceries/pi/874/5390003010874/IDShot_90x90.jpg	Wwfh Vanilla Berry Cheesecake180g	1.25	81796184	0.694
34	0.39	G	350.0	False			1	100G	[Chocolate sponge (26%) layered with chocolate and malted cream mousse (43%), milk chocolate drops (4%) and caramel sauce (16%), covered with milk chocolate (11%).]	http://img.tesco.com/Groceries/pi/581/5060402902581/IDShot_90x90.jpg	Mars Desert Bar 350G	3.0	81609091	0.857
35	0.411	G	400.0	True			1	100G	[Acai purée preparation with guarana, Fair Trade acai purée from the Brazilian Amazon rainforest., Visit Sambazon.com for recipes.]	http://img.tesco.com/Groceries/pi/321/0818411001321/IDShot_90x90.jpg	Sambazon Acai Superfruit Pack 4X100g	4.0	81720188	1.0
36	0.998	G	940.0	False			1	100G	[Baked cheesecake with strawberry sauce on a digestive biscuit base, topped with vanilla flavour cream mousse and strawberry sauce, sprinkled with white chocolate flakes., This festive season, try our Frozen Strawberries and Cream Cheesecake   the perfect centre piece serving twelve and defrosting in only 3.5 hours.]	http://img.tesco.com/Groceries/pi/116/5057008276116/IDShot_90x90.jpg	Tesco Strawberries And Cream Cheesecake 940G	3.0	81574965	0.319
37	0.488	G	460.0	False			1	100G		http://img.tesco.com/Groceries/pi/999/5057008424999/IDShot_90x90.jpg	Tesco Finest Cheesecake Belgian Chocolate 460G	3.0	81737249	0.652
38	1.175	G	1000.0	False			1	100G	[Chocolate sponge layered with chocolate cream mousse and chocolate flavoured sauce, covered with chocolate flavoured jelly, decorated with dark chocolate drops and chocolate decoration., This festive season, try our Frozen Indulgent Chocolate Gateau   the perfect party centre piece serving twelve and defrosts in 4.5 hours. Why not add some of our frozen raspberries to the side for an extra fruity kick.]	http://img.tesco.com/Groceries/pi/809/5057008277809/IDShot_90x90.jpg	Tesco Indulgent Chocolate Gateaux 1Kg	4.0	81576836	0.4
39	0.33	G	218.0	False			1	100G	[A meringue shell filled with cream, topped with toffee sauce and caramel curls.]	http://img.tesco.com/Groceries/pi/564/5057008235564/IDShot_90x90.jpg	Tesco Toffee Pavlova 218G	2.0	81505182	0.917
40	0.438	G	400.0	False			1	100G	[Chocolate flavoured sponge filled with a chocolate cream mousse, covered with milk chocolate, drizzled with a white chocolate flavoured sauce., This festive season, try our Frozen Chocolate Yule Log   layers of chocolate sponge & chocolate mousse coated in chocolate. It serves five & defrosts in only 2 hours, hassle free.]	http://img.tesco.com/Groceries/pi/161/5057008276161/IDShot_90x90.jpg	Tesco Chocolate Yule Log 400G	2.0	81575002	0.5
