	AverageSellingUnitWeight	ContentsMeasureType	ContentsQuantity	IsNew	IsSpecialOffer	PromotionDescription	UnitOfSale	UnitQuantity	description	image	name	price	tpnb	unitprice
63	0.613	G	350.0				1	100G	[Jerk BBQ Marinade, Take a look at my website for some crazy recipes., chefcollinbrown.co.uk]	http://img.tesco.com/Groceries/pi/517/5020580003517/IDShot_90x90.jpg	Chef Collin Brown Jerk Bbq Cooking Sauce 350G	2.0	80383357	0.571
64	0.287	G	260.0	False		£2 off when you spend £10 on any Asian products	1	100G		http://img.tesco.com/Groceries/pi/809/5018605161809/IDShot_90x90.jpg	East End Masala Chilli Sauce 260G	1.0	67063122	0.385
65	0.525	G	500.0	False			1	KG	[White beans with smoked pork and beef sausage in tomato sauce.]	http://img.tesco.com/Groceries/pi/081/5907501002081/IDShot_90x90.jpg	Pamapol Beans With Sausages In Tomato Sauce 500G	1.49	65165454	2.98
66	0.099	G	85.0	False	True	Save 31p Was 81p Now 50p	1	KG	[Low fat super noodles in a Chilli Chicken flavour sauce]	http://img.tesco.com/Groceries/pi/763/5000354401763/IDShot_90x90.jpg	Batchelors Supernoodle Low Fat Chilli Chicken 85G	0.5	64142707	5.89
67	0.406	G	450.0		True	Any 2 for £6.00	1	KG	[Pieces of marinated chicken breast in a creamy tomato and butter sauce with cashew nuts and topped with almonds, served with lemon pilau rice, For our Finest Indian ready meals we have taken inspiration from different regions of India to understand the authenticity of curry and learning from the best Indian Chef's. Our Finest Indian curry uses the most authenic ingredients & techniques, meticulously balanced in a rich indulgent sauce to deliver the nations favourite curries. People who've tried our Finest Indian ready meal range love Finest Chicken Jalfrezi with Fragrant Pilau Rice.]	http://img.tesco.com/Groceries/pi/228/5054269267228/IDShot_90x90.jpg	Tesco Finest Chicken Tikka Masala With Pilau Rice 450G	3.5	57546701	7.78
68	0.053	G	43.0	False			1	100G	[Naturally Tasty Spaghetti Bolognese]	http://img.tesco.com/Groceries/pi/156/8714100261156/IDShot_90x90.jpg	Knorr Naturally Tasty Spaghetti Bolognese 43G	0.89	81609762	2.07
69	0.235	G	200.0		True	Any 2 for £3.00	1	KG	[Grated mild Cheddar full fat hard cheese, medium coloured Cheddar full fat hard cheese, Emmental full fat hard cheese and Mozzarella full fat soft cheese., A tasty mix of 4 cheeses, quick & delicious in cheese sauce]	http://img.tesco.com/Groceries/pi/571/5052909780571/IDShot_90x90.jpg	Tesco Four Cheese Grated 200G	2.0	72067082	10.0
70	0.573	G	410.0	False	True	Any 2 for £6.00	1	KG	[Slow cooked marinated pork shoulder with a sachet of sweet barbecue sauce, Marinated in a blend of spices and slow cooked until it is perfect for shredding, served with a sweet BBQ sauce.]	http://img.tesco.com/Groceries/pi/273/5054402718273/IDShot_90x90.jpg	Tesco Sweet Bbq Pulled Pork 410G	3.5	78459334	8.54
71	0.368	ML	440.0				1	100ML	[White chocolate ice cream in a biscuit cone coated with chocolate flavour coating, rippled and topped with raspberry sauce and white chocolate curls, 4 White Chocolate and Raspberry Cones]	http://img.tesco.com/Groceries/pi/823/5054269765823/IDShot_90x90.jpg	Tesco White Chocolate And Raspberry Cone 4X110ml	1.0	79720421	0.227
72	0.25	G	150.0	False			1	100G	[Tomato & Tofu Stir-in Sauce., For serving suggestions & recipe inspiration visit sacla.co.uk]	http://img.tesco.com/Groceries/pi/640/8001060027640/IDShot_90x90.jpg	Sacla Free From Creamy Tomato Sauce 150G	1.89	80550661	1.26
73	0.247	G	180.0			Save £1 on Tesco or Finest fresh pre-packed salmon	1	100G	[2 Hot Smoked Salmon (Salmo salar) fillets, Tender salmon fillets with a mild, oak smoked flavour. Responsibly sourced from Scotland and Norway. Try flaking into a tomato, garlic and basil sauce topped with Parmigiano Reggiano cheese or find recipes from tarts to terrines at www.tesco.com/realfood]	http://img.tesco.com/Groceries/pi/080/5053526662080/IDShot_90x90.jpg	Tesco Hot Smoked Salmon Fillets 180G	4.0	73529940	2.23
74	0.545	G	500.0	False			1	100G	[Herring fillets in pieces in mustard sauce]	http://img.tesco.com/Groceries/pi/381/5900344403381/IDShot_90x90.jpg	Lisner Herring In Mustard Sauce 500G	2.5	80475076	0.5
75	0.43	G	400.0				1	100G	[Spaghetti in a cooked minced beef and tomato sauce., Minced beef bolognese sauce with spaghetti. This Italian classic is a tasty treat suitable for any occasion.]	http://img.tesco.com/Groceries/pi/814/5054775860814/IDShot_90x90.jpg	Tesco Spaghetti Bolognese 400G	1.0	81091332	0.25
76	0.705	G	420.0	False			1	100G	[Cooking Sauce Sri Lankan Coconut Curry]	http://img.tesco.com/Groceries/pi/653/5000354904653/IDShot_90x90.jpg	Sharwoods Sri Lankan Curry 420G	1.75	81332492	0.417
77	0.064	G	50.0		True	Any 2 for £1.00	1	100G	[Sauce for Black Bean Chicken]	http://img.tesco.com/Groceries/pi/318/0078895120318/IDShot_90x90.jpg	Lee Kum Kee Sauce For Black Bean Chicken 50G	0.85	73339272	1.7
78	0.429	G	400.0		True	Any 2 for £6.00	1	KG	[Ham hock in a Cheddar cheese sauce with sliced potato & leek with a cheese & ciabatta style breadcrumb, Outdoor bred Wiltshire ham hock in a creamy cheese sauce with fresh leeks, potato and a crunchy, herby topping]	http://img.tesco.com/Groceries/pi/271/5053947818271/IDShot_90x90.jpg	Tesco Finest Ham Hock Leek And Potato Gratin 400G	3.5	68096824	8.75
79	0.503	G	600.0				1	KG	[Cauliflower florets in a cheese sauce topped with mature vegetarian Cheddar cheese., Cauliflower florets in a cheese sauce topped with mature vegetarian Cheddar cheese.]	http://img.tesco.com/Groceries/pi/535/5051399540535/IDShot_90x90.jpg	Tesco Cauliflower Cheese 600G	2.0	53395050	3.34
80	0.26	KG	0.235				1	100G	[Choux pastry Profiteroles with a cream filling and a sachet of chocolate sauce, Cream filled choux profiteroles, with a sachet of smooth chocolate sauce]	http://img.tesco.com/Groceries/pi/147/5052004477147/IDShot_90x90.jpg	Tesco Profiteroles 235G	1.0	61234876	0.426
81	0.108	G	78.0				1	KG	[Dried Egg Noodles in a Savoury Sauce with Dried Carrot, Spring Onion and Green Beans.]	http://img.tesco.com/Groceries/pi/429/5050665020429/IDShot_90x90.jpg	Naked Noodle Chow Mein 78G	1.19	79631866	15.26
82	0.334	G	350.0				1	KG	[Cauliflower florets in a cheese and cream sauce topped with Barber's Vintage Farmhouse Cheddar cheese and a herb crumb topping., With a deliciously savoury herby crumb for a lovely crunchy finish]	http://img.tesco.com/Groceries/pi/125/5051277948125/IDShot_90x90.jpg	Tesco Finest Cauliflower Cheese 350G	2.6	57938727	7.43
83	0.337	G	320.0				1	KG	[Tender pieces of chicken in a sweet and sour sauce with pieces of pineapple and carrot, served with white rice]	http://img.tesco.com/Groceries/pi/447/5390003010447/IDShot_90x90.jpg	Weight Watchers Sweet And Sour Chicken 320G	1.5	63529293	4.69
84	0.367	G	290.0				1	KG	[Mixed beans and chickpeas in a spicy tomato sauce, Mixed beans and chickpeas in a spicy tomato sauce.]	http://img.tesco.com/Groceries/pi/132/5031021972132/IDShot_90x90.jpg	Tesco Hot And Spicy Mixed Beans 290G	0.4	53645636	1.38
85	0.274	ML	300.0		True	Any 2 for £3.00	1	100ML	[Mint flavoured iced dessert swirled with chocolate sauce and milk chocolate pieces, Check us out online, When you've got a spare 5 minutes, why not visit us at www.skinnycow.co.uk]	http://img.tesco.com/Groceries/pi/940/5010238008940/IDShot_90x90.jpg	The Skinny Cow Mint Double Chocolate 3 X 100Ml	2.5	62292209	0.833
86	0.122	G	77.0	False	True	Any 2 for £2.00	1	KG	[Noodles in a Tasty Chicken Flavour Sauce]	http://img.tesco.com/Groceries/pi/195/5000354406195/IDShot_90x90.jpg	Batchelors Deli Box Chicken Noodles 77G	1.19	79403906	15.46
87	0.503	ML	250.0	False			1	100ML	[For more information or recipe ideas, please visit www.kikkoman.eu]	http://img.tesco.com/Groceries/pi/308/8715035240308/IDShot_90x90.jpg	Kikkoman Sushi And Sashimi Soy Sauce 250Ml	2.6	73368686	1.04
88	0.54	G	450.0	False			1	KG	[Brown sauce.]	http://img.tesco.com/Groceries/pi/461/5054402818461/IDShot_90x90.jpg	Tesco Free From Brown Sauce 450G	1.0	78621125	2.23
89	0.463	G	450.0	False	True	Any 3 for 2 Cheapest Product Free	1	KG	[Layered vegetables of cauliflower, broccoli, potato, carrot and spinach, topped with cheese sauce and breadcrumbs., Topped with a creamy cheese sauce]	http://img.tesco.com/Groceries/pi/105/0000003263105/IDShot_90x90.jpg	Tesco Vegetable Bake 450G	2.5	79807947	5.56
90	0.613	G	350.0				1	100G	[Jamaican Style Curry Cooking Sauce, Take a look at my website for some crazy recipes., chefcollinbrown.co.uk]	http://img.tesco.com/Groceries/pi/494/5020580003494/IDShot_90x90.jpg	Chef Collin Brown Curry Cooking Sauce 350G	2.0	80383340	0.571
91	0.126	G	110.0	False			1	KG	[Dried pasta in a tomato and onion sauce mix. Just add water]	http://img.tesco.com/Groceries/pi/212/5010204838212/IDShot_90x90.jpg	Tesco Everyday Value Tomato And Onion Pasta'n'sce 110G	0.2	57661944	1.82
92	0.5	ML	207.0	False			1	100ML	[Red Braising Sauce]	http://img.tesco.com/Groceries/pi/282/0078895148282/IDShot_90x90.jpg	Lee Kum Kee Red Braising Sauce 207Ml	1.9	81562752	0.918
93	0.84	G	510.0				1	100G	[Vegetarian Stir-Fry Sauce]	http://img.tesco.com/Groceries/pi/853/0078895100853/IDShot_90x90.jpg	Lee Kum Kee Vegetarian Stir Fry Sauce 510G	2.0	73339669	0.392
94	0.128	G	90.0	False	True	Half Price Was £1.00 Now 50p	1	100G	[Noodles in a Macaroni Cheese flavour sauce and a little sachet of tomato sauce.]	http://img.tesco.com/Groceries/pi/282/8710908894282/IDShot_90x90.jpg	Pot Noodle Mac & Cheese 90G	0.5	81232322	0.556
95	0.894	G	450.0		True	Any 2 for £4.00	1	KG	[A British inspired classic of pollock (Theragra Chalcogramma) in a cheese sauce topped with mashed potato and a Cheddar cheese crumb., We've used succulent Alaskan pollock for our classic fish pie. It's made with a comforting, velvety cheese sauce and topped with Maris Piper potato, freshly mashed with butter, milk, salt and pepper so it's nice and fluffy, then finished with tangy Cheddar cheese crumb.]	http://img.tesco.com/Groceries/pi/510/5052003519510/IDShot_90x90.jpg	Tesco Fish Pie 450G	2.3	58284678	5.12
96	0.253	G	193.0	False			1	100G	[8 Whole Wheat Tortillas]	http://img.tesco.com/Groceries/pi/823/8410076472823/IDShot_90x90.jpg	Old El Paso Whole Wheat Tortillas 193G	1.89	81463146	0.979
97	0.337	G	320.0				1	KG	[Minced beef cooked in a tomato and red wine sauce served on spaghetti, GOOD TO KNOW., This meal contains 1 of your 5 a day when eaten as part of a balanced diet.]	http://img.tesco.com/Groceries/pi/246/5390003008246/IDShot_90x90.jpg	Weight Watchers Spaghetti Bolognese 320G	1.25	54422933	3.91
98	0.075	G	64.0	False			1	100G	[Naturally Chilli Con Carne]	http://img.tesco.com/Groceries/pi/531/8714100260531/IDShot_90x90.jpg	Knorr Naturally Tasty Chili Con Carne 64G	0.89	81609753	1.4
99	0.168	G	40.0	False			1	100G	[A delicious recipe mix with thyme, parsley and white wine for a rich and warming chicken chasseur., For recipes and cooking suggestions visit: www.schwartz.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/059/5000225006059/IDShot_90x90.jpg	Schwartz Chicken Chasseur Casserole Mix40g	0.85	55846885	2.13
0	0.291	G	500.0				1	KG	[Pork rib rack in a BBQ flavoured sauce, As per copy writer]	http://img.tesco.com/Groceries/pi/004/5052003968004/IDShot_90x90.jpg	Tesco Rack Of Ribs 500G	3.5	65057191	7.0
1	0.426	G	353.0				1	100G	[A Stonebaked Pizza Base Topped with Tomato Sauce & Mozzarella Cheese, Pepperoni, Pork Sausage Meatballs & Smoke Flavoured Reformed Ham with Added Water., Join the conversation on Facebook & Twitter]	http://img.tesco.com/Groceries/pi/263/5391527072263/IDShot_90x90.jpg	Goodfellas Stonebaked Thin Meat Feast 353G	2.0	80807975	0.567
2	0.389	G	386.0				1	100G	[A topped to the edge deep pan pizza base with tomato sauce and a two cheese blend of mozzarella & Cheddar cheeses., Deep Cheese Pizza &#163;1]	http://img.tesco.com/Groceries/pi/556/5054402747556/IDShot_90x90.jpg	Tesco Deep Cheese Pizza 386G	1.0	78525504	0.259
3	0.125	G	125.0				1	KG	[Mozzarella medium fat soft cheese., Fresh and delicately flavoured, add to pasta sauces or salads.]	http://img.tesco.com/Groceries/pi/423/5010204740423/IDShot_90x90.jpg	Tesco Mini Mozzarella Pearls 125G	1.15	57546465	9.2
4	0.03	G	30.0	False			1	100G	[A recipe mix with smoked paprika, garlic and thyme for creating delicious meatballs in a rich Spanish-style sauce., For recipes and cooking suggestions visit: www.schwartz.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/558/5000225053558/IDShot_90x90.jpg	Schwartz Spanish Meatballs In Tomato Sauce 30G	0.85	81407358	2.84
5	0.168	G	43.0	False			1	100G	[A savoury recipe mix with paprika and parsley for a delicious and hearty beef casserole., For recipes and cooking suggestions visit: www.schwartz.co.uk, Find us on Facebook and Twitter]	http://img.tesco.com/Groceries/pi/779/5000225005779/IDShot_90x90.jpg	Schwartz Beef Casserole Mix 43G	0.85	55846637	1.98
